#Module 	 Chip 	 Chn 	 Mem 	 Pedestal 	 MeanError
1	130	13	12	244.443	1.3262
1	130	13	13	261.507	1.96538
1	130	13	14	208.681	2.21713
1	130	14	1	209.47	0.217472
1	130	14	2	219.498	0.229991
1	130	14	3	220.072	0.236476
1	130	14	4	210.49	0.238184
1	130	14	5	211.921	0.26101
1	130	14	6	227.283	0.315355
1	130	14	7	211.21	0.341649
1	130	14	8	219.34	0.427163
1	130	14	9	212.311	0.511866
1	130	14	10	207.569	0.638293
1	130	14	11	240.395	0.966597
1	130	14	12	272.399	1.47463
1	130	14	13	260.985	1.95141
1	130	14	14	222.978	2.35827
1	130	15	1	209.097	0.216352
1	130	15	2	213.165	0.222664
1	130	15	3	217.618	0.233195
1	130	15	4	210.904	0.23794
1	130	15	5	216.491	0.265864
1	130	15	6	217.348	0.300626
1	130	15	7	204.189	0.32919
1	130	15	8	220.377	0.427865
1	130	15	9	215.294	0.517662
1	130	15	10	210.547	0.64531
1	130	15	11	233.268	0.934764
1	130	15	12	256.71	1.38328
1	130	15	13	286.774	2.1401
1	130	15	14	211.801	2.23532
1	130	16	1	224.573	0.232939
1	130	16	2	225.155	0.235626
1	130	16	3	213.424	0.229131
1	130	16	4	215.966	0.244196
1	130	16	5	225.587	0.277588
1	130	16	6	225.856	0.313043
1	130	16	7	216.805	0.350173
1	130	16	8	226.376	0.440366
1	130	16	9	219.344	0.528533
1	130	16	10	215.509	0.661601
1	130	16	11	243.602	0.977982
1	130	16	12	256.516	1.38498
1	130	16	13	254.206	1.90135
1	130	16	14	212.082	2.24178
1	130	17	1	208.564	0.21604
1	130	17	2	207.579	0.217006
1	130	17	3	208.172	0.223235
1	130	17	4	206.245	0.232908
1	130	17	5	211.324	0.259726
1	130	17	6	212.603	0.294366
1	130	17	7	198.093	0.319726
1	130	17	8	215.011	0.41779
1	130	17	9	206.44	0.496568
1	130	17	10	204.99	0.628555
1	130	17	11	220.586	0.883809
1	130	17	12	253.486	1.36704
1	130	17	13	290.733	2.16718
1	130	17	14	203.449	2.14394
1	130	18	1	203.093	0.212804
1	130	18	2	208.54	0.220485
1	130	18	3	201.418	0.218495
1	130	18	4	211.311	0.241329
1	130	18	5	207.207	0.257509
1	130	18	6	214.06	0.299668
1	130	18	7	204.523	0.333649
1	130	18	8	220.373	0.432891
1	130	18	9	211.229	0.513706
1	130	18	10	202.932	0.628857
1	130	18	11	226.21	0.917432
1	130	18	12	241.802	1.31675
1	130	18	13	259.507	1.95527
1	130	18	14	205.602	2.19147
1	130	19	1	210.095	0.217096
1	130	19	2	216.221	0.225435
1	130	19	3	211.903	0.226651
1	130	19	4	203.036	0.228663
1	130	19	5	210.366	0.257855
1	130	19	6	223.574	0.308714
